FIPS Code,State and area,Year,Month,Civilian non-institutional population,Total,Percent of population,EmploymentTotal,Percent of population,UnemploymentTotal,UnemplotmentRate
1,Alabama,2017,1,"3,878,820   ","2,186,081   ",56.4   ,"2,054,464   ",53.0   ,"131,617   ",6.0   
2,Alaska,2017,1,"546,640   ","357,341   ",65.4   ,"330,612   ",60.5   ,"26,729   ",7.5   
4,Arizona,2017,1,"5,303,787   ","3,207,468   ",60.5   ,"3,034,808   ",57.2   ,"172,660   ",5.4   
5,Arkansas,2017,1,"2,308,326   ","1,320,110   ",57.2   ,"1,262,227   ",54.7   ,"57,883   ",4.4   
6,California,2017,1,"30,716,366   ","19,064,992   ",62.1   ,"17,985,443   ",58.6   ,"1,079,549   ",5.7   
37,Los Angeles County,2017,1,"8,069,095   ","5,065,253   ",62.8   ,"4,796,355   ",59.4   ,"268,898   ",5.3   
8,Colorado,2017,1,"4,344,916   ","2,896,142   ",66.7   ,"2,807,191   ",64.6   ,"88,951   ",3.1   
9,Connecticut,2017,1,"2,898,354   ","1,916,966   ",66.1   ,"1,816,438   ",62.7   ,"100,528   ",5.2   
10,Delaware,2017,1,"760,367   ","470,959   ",61.9   ,"446,479   ",58.7   ,"24,480   ",5.2   
11,District of Columbia,2017,1,"556,150   ","390,577   ",70.2   ,"364,539   ",65.5   ,"26,038   ",6.7   
12,Florida,2017,1,"16,690,974   ","9,866,686   ",59.1   ,"9,381,489   ",56.2   ,"485,197   ",4.9   
13,Georgia,2017,1,"7,948,065   ","5,071,511   ",63.8   ,"4,794,357   ",60.3   ,"277,154   ",5.5   
15,Hawaii,2017,1,"1,119,746   ","699,554   ",62.5   ,"680,282   ",60.8   ,"19,272   ",2.8   
16,Idaho,2017,1,"1,299,818   ","822,484   ",63.3   ,"786,321   ",60.5   ,"36,163   ",4.4   
17,Illinois,2017,1,"10,141,958   ","6,537,623   ",64.5   ,"6,137,852   ",60.5   ,"399,771   ",6.1   
18,Indiana,2017,1,"5,176,248   ","3,301,254   ",63.8   ,"3,154,321   ",60.9   ,"146,933   ",4.5   
19,Iowa,2017,1,"2,460,469   ","1,682,343   ",68.4   ,"1,610,538   ",65.5   ,"71,805   ",4.3   
20,Kansas,2017,1,"2,226,221   ","1,479,484   ",66.5   ,"1,418,976   ",63.7   ,"60,508   ",4.1   
21,Kentucky,2017,1,"3,482,621   ","2,030,482   ",58.3   ,"1,915,334   ",55.0   ,"115,148   ",5.7   
22,Louisiana,2017,1,"3,587,262   ","2,084,720   ",58.1   ,"1,956,394   ",54.5   ,"128,326   ",6.2   
23,Maine,2017,1,"1,103,625   ","693,524   ",62.8   ,"663,837   ",60.2   ,"29,687   ",4.3   
24,Maryland,2017,1,"4,786,281   ","3,204,248   ",66.9   ,"3,059,906   ",63.9   ,"144,342   ",4.5   
25,Massachusetts,2017,1,"5,632,576   ","3,675,441   ",65.3   ,"3,510,501   ",62.3   ,"164,940   ",4.5   
26,Michigan,2017,1,"7,982,494   ","4,866,467   ",61.0   ,"4,598,109   ",57.6   ,"268,358   ",5.5   
27,Minnesota,2017,1,"4,361,565   ","3,039,493   ",69.7   ,"2,897,614   ",66.4   ,"141,879   ",4.7   
28,Mississippi,2017,1,"2,283,609   ","1,265,046   ",55.4   ,"1,189,768   ",52.1   ,"75,278   ",6.0   
29,Missouri,2017,1,"4,766,545   ","3,030,954   ",63.6   ,"2,890,208   ",60.6   ,"140,746   ",4.6   
30,Montana,2017,1,"832,019   ","520,068   ",62.5   ,"492,420   ",59.2   ,"27,648   ",5.3   
31,Nebraska,2017,1,"1,469,146   ","1,010,153   ",68.8   ,"974,172   ",66.3   ,"35,981   ",3.6   
32,Nevada,2017,1,"2,287,982   ","1,415,919   ",61.9   ,"1,336,449   ",58.4   ,"79,470   ",5.6   
33,New Hampshire,2017,1,"1,108,511   ","754,330   ",68.0   ,"728,480   ",65.7   ,"25,850   ",3.4   
