RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021
102001,0,United States,Country,,271383,274736,278389,282245,286948,292471,298349,303739,308359,312452,316333,320662
394913,1,"New York, NY",Msa,NY,514741,519462,523812,528535,534026,541165,549066,556634,562515,567048,570588,573813
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,741668,749163,757038,768091,783767,803587,824502,837956,847074,851836,859045,868350
394463,3,"Chicago, IL",Msa,IL,256350,258656,260755,263775,266508,270301,274437,278525,281576,284217,286894,289595
394514,4,"Dallas-Fort Worth, TX",Msa,TX,277837,281220,285247,290780,297205,304541,312359,320271,327472,333559,339033,344919
394974,5,"Philadelphia, PA",Msa,PA,276682,279790,282880,286195,290533,295351,299868,303479,306335,308781,311255,313529
394692,6,"Houston, TX",Msa,TX,235978,238589,240478,242919,246069,251299,257071,263037,267879,272146,275290,278685
395209,7,"Washington, DC",Msa,DC,474770,479578,485371,492165,499337,506077,511099,514688,517135,519999,522901,526296
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,328445,331498,335376,339062,344822,351118,358571,366066,374275,382545,390282,397603
394347,9,"Atlanta, GA",Msa,GA,268789,272712,276690,281473,286888,293662,301022,308446,315500,322906,330437,338243
394404,10,"Boston, MA",Msa,MA,541022,547178,552412,558511,565726,575692,585551,593462,598451,602999,607302,612114
395057,11,"San Francisco, CA",Msa,CA,1176327,1185652,1200879,1221640,1250101,1283017,1316538,1337274,1349477,1353925,1363676,1374739
394532,12,"Detroit, MI",Msa,MI,199034,201448,203649,205832,208640,212291,216080,219354,221563,223666,224705,226372
395025,13,"Riverside, CA",Msa,CA,429577,436025,443201,452542,464176,477294,492360,506166,517907,524940,529436,534393
394976,14,"Phoenix, AZ",Msa,AZ,331446,337719,346283,353033,364837,376184,389181,399407,407572,415240,421388,427451
395078,15,"Seattle, WA",Msa,WA,595134,602515,611599,621901,633941,651545,667217,680577,688876,696463,707417,718944
394865,16,"Minneapolis-St Paul, MN",Msa,MN,317383,320263,323484,325801,329667,334292,339997,343989,346725,348430,350582,353505
395056,17,"San Diego, CA",Msa,CA,684131,692533,702798,716875,737932,762185,786101,800783,810529,815279,822836,834199
